주소,위도,경도,견인횟수,nearest_park,park_위도,park_경도,distance,time
서울특별시 광진구 자양동 227-336,37.5382901,127.0745698,5,겨울자전거_카페인모아,37.5384597,127.0753355,142,0
서울특별시 광진구 자양동 227-341,37.5377773,127.0740208,1,스타시티몰 2,37.5378028,127.0726322,126,1
서울특별시 광진구 자양동 227-342,37.5387882,127.0711369,7,건대입구 롯데백화점 앞,37.5387882,127.0711369,0,0
서울특별시 광진구 자양동 227-346,37.5380143,127.0701486,2,광진문화예술회관,37.53748665,127.0698566,783,2
서울특별시 광진구 자양동 227-348,37.5377964,127.0700375,1,광진문화예술회관,37.53748665,127.0698566,809,2
서울특별시 광진구 자양동 227-7,37.5378028,127.0726322,3,스타시티몰 2,37.5378028,127.0726322,0,0
서울특별시 광진구 자양동 227-8,37.5375641,127.0699241,5,광진문화예술회관,37.53748665,127.0698566,2,0
서울특별시 광진구 자양동 227-9,37.5384283,127.0757863,4,중앙농협 건대점,37.5382134,127.0755469,533,3
서울특별시 광진구 자양동 43-13,37.5365089,127.0637382,1,영동교 골목시장 입구,37.53897458,127.0624117,466,1
서울특별시 광진구 자양동 43-56,37.5335436,127.0675907,1,coffee the sol,37.5329888,127.0680604,418,2
서울특별시 광진구 자양동 469-1,37.532125,127.0721421,1,이튼타워리버5차,37.5321852,127.0690312,417,1
서울특별시 광진구 자양동 493-3,37.5315227,127.0706195,1,이튼타워리버5차,37.5321852,127.0690312,216,0
서울특별시 광진구 자양동 497-2,37.5330664,127.0705813,28,이튼타워리버5차,37.5321852,127.0690312,195,0
서울특별시 광진구 자양동 504,37.5345981,127.0691877,2,신양초등학교,37.53526307,127.0690822,273,1
서울특별시 광진구 자양동 504-2,37.5342252,127.0689655,2,신양초등학교,37.53526307,127.0690822,283,1
서울특별시 광진구 자양동 507-27,37.5353916,127.0687572,1,신양초등학교,37.53526307,127.0690822,422,1
서울특별시 광진구 자양동 507-36,37.5356387,127.0691437,5,이튼타워리버 2차 앞 ,37.53569603,127.0688804,477,1
서울특별시 광진구 자양동 507-43,37.535284,127.0691312,1,신양초등학교,37.53526307,127.0690822,4,0
서울특별시 광진구 자양동 507-6,37.5355048,127.0691643,2,신양초등학교,37.53526307,127.0690822,69,0
서울특별시 광진구 자양동 508-9,37.5356578,127.0670882,5,이튼타워리버 2차 앞 ,37.53569603,127.0688804,190,1
서울특별시 광진구 자양동 510-5,37.5369127,127.0696803,1,광진문화예술회관,37.53748665,127.0698566,77,0
서울특별시 광진구 자양동 510-6,37.5365439,127.0690731,2,이튼타워리버 2차 앞 ,37.53569603,127.0688804,1294,5
서울특별시 광진구 자양동 510-9,37.5356139,127.0695836,1,신양초등학교,37.53526307,127.0690822,94,0
서울특별시 광진구 자양동 515-1,37.5367331,127.0705945,1,광진문화예술회관(1),37.5375194,127.0706501,89,0
서울특별시 광진구 자양동 515-2,37.5362412,127.0714855,1,광진문화예술회관(1),37.5375194,127.0706501,239,1
서울특별시 광진구 자양동 517,37.5355419,127.0721826,2,스타시티몰 2,37.5378028,127.0726322,515,2
서울특별시 광진구 자양동 519-3,37.5355113,127.0722056,1,스타시티몰 2,37.5378028,127.0726322,518,2
서울특별시 광진구 자양동 520,37.5341945,127.0743074,1,자양우성1차아파트 106동,37.5344086,127.0755737,158,0
서울특별시 광진구 자양동 520-8,37.5337534,127.0748733,4,자양우성1차아파트 106동,37.5344086,127.0755737,124,0
서울특별시 광진구 자양동 520-9,37.5336296,127.0749787,1,자양우성1차아파트 106동,37.5344086,127.0755737,135,0
서울특별시 광진구 자양동 533-12,37.536894,127.0715909,1,광진문화예술회관(1),37.5375194,127.0706501,105,0
서울특별시 광진구 자양동 533-13,37.5365076,127.0727446,3,스타시티몰 2,37.5378028,127.0726322,394,2
서울특별시 광진구 자양동 533-3,37.5370917,127.0703584,2,광진문화예술회관(1),37.5375194,127.0706501,23,0
서울특별시 광진구 자양동 536,37.5368081,127.0716418,1,광진문화예술회관(1),37.5375194,127.0706501,112,0
서울특별시 광진구 자양동 550-2,37.5349742,127.068388,6,신양초등학교,37.53526307,127.0690822,1386,5
서울특별시 광진구 자양동 553-19,37.5350328,127.0671576,1,이튼타워리버 2차 앞 ,37.53569603,127.0688804,217,1
서울특별시 광진구 자양동 553-241,37.5337125,127.0712985,1,신양초등학교,37.53526307,127.0690822,328,2
서울특별시 광진구 자양동 553-274,37.533146,127.0690415,1,coffee the sol,37.5329888,127.0680604,126,0
서울특별시 광진구 자양동 553-29,37.5335509,127.068617,2,coffee the sol,37.5329888,127.0680604,566,3
서울특별시 광진구 자양동 553-476,37.5343064,127.0683555,1,신양초등학교,37.53526307,127.0690822,333,2
서울특별시 광진구 자양동 553-500,37.5344826,127.0713389,1,신양초등학교,37.53526307,127.0690822,218,1
서울특별시 광진구 자양동 553-532,37.5348991,127.0699123,3,신양초등학교,37.53526307,127.0690822,83,0
서울특별시 광진구 자양동 553-649,37.5341651,127.068124,1,coffee the sol,37.5329888,127.0680604,680,5
서울특별시 광진구 자양동 553-666,37.5332285,127.06904,1,coffee the sol,37.5329888,127.0680604,132,0
서울특별시 광진구 자양동 554-3,37.53395,127.0687643,3,coffee the sol,37.5329888,127.0680604,615,3
서울특별시 광진구 자양동 559-10,37.5355154,127.0721823,1,스타시티몰 2,37.5378028,127.0726322,518,2
서울특별시 광진구 자양동 559-2,37.5357585,127.0664069,2,이튼타워리버 2차 앞 ,37.53569603,127.0688804,252,1
서울특별시 광진구 자양동 559-22,37.5331203,127.0729366,2,자양우성1차아파트 106동,37.5344086,127.0755737,717,5
서울특별시 광진구 자양동 559-24,37.5325681,127.0716596,1,이튼타워리버5차,37.5321852,127.0690312,282,1
서울특별시 광진구 자양동 559-7,37.5374251,127.0694905,1,광진문화예술회관,37.53748665,127.0698566,861,3
서울특별시 광진구 자양동 57-114,37.5335596,127.0625149,1,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,967,5
서울특별시 광진구 자양동 578-2,37.5351845,127.0754156,1,자양우성4차아파트,37.5351857,127.0757955,10,0
서울특별시 광진구 자양동 578-5,37.5354598,127.0755694,1,자양우성4차아파트,37.5351857,127.0757955,23,0
서울특별시 광진구 자양동 578-8,37.5354658,127.0753278,1,자양우성4차아파트,37.5351857,127.0757955,35,0
서울특별시 광진구 자양동 579,37.5344086,127.0755737,1,자양우성1차아파트 106동,37.5344086,127.0755737,0,0
서울특별시 광진구 자양동 579-2,37.5348377,127.0752859,1,자양우성1차아파트 106동,37.5344086,127.0755737,104,0
서울특별시 광진구 자양동 607-9,37.5322778,127.0782412,1,할매순대국,37.5324828,127.0785747,31,1
서울특별시 광진구 자양동 65-11,37.5337995,127.0677282,4,coffee the sol,37.5329888,127.0680604,449,3
