역명,위도,경도,총승객수
긴고랑입구,37.55873643,127.0886687,64.72222222222223
서울서광교회앞,37.54758473,127.088351,116.45833333333333
구의역3번출구,37.53751863,127.0882894,218.97222222222223
중곡동입구,37.55479896,127.0882622,259.34722222222223
종로약국앞,37.55758796,127.0881059,232.25
한국켄트외국인학교,37.54772999,127.0880988,192.41666666666666
신성시장입구,37.5586702,127.088063,177.97222222222223
신성시장입구,37.55852697,127.0880097,246.36111111111111
구의역2번출구,37.53770269,127.0879773,346.7888888888889
신성시장,37.55831895,127.0879298,400.48148148148147
신성시장앞,37.55831636,127.0876755,383.9583333333333
대순진리회앞.구.새마을금고,37.56095484,127.0875677,126.61111111111111
중곡동종점,37.56269505,127.0873094,229.40740740740742
구.새마을금고앞,37.56144173,127.0871709,122.33333333333333
대원외고앞,37.56324484,127.0871413,154.19444444444446
